,Rent_Date,STA_LOC,Rent_Count,Yr_Mth,JIJACE_NM,ACC_CNT
73,2018-03-01,중구,19103.0,2018-03-01 00:00:00,중구,1.0
74,2018-03-01,중랑구,12833.0,2018-03-01 00:00:00,중랑구,6.0
75,2018-04-01,강남구,29194.0,2018-04-01 00:00:00,강남구,4.0
76,2018-04-01,강동구,26099.0,2018-04-01 00:00:00,강동구,7.0
77,2018-04-01,강북구,23093.0,2018-04-01 00:00:00,강북구,2.0
78,2018-04-01,강서구,38989.0,2018-04-01 00:00:00,강서구,4.0
79,2018-04-01,관악구,20069.0,2018-04-01 00:00:00,관악구,3.0
80,2018-04-01,광진구,25230.0,2018-04-01 00:00:00,광진구,7.0
81,2018-04-01,구로구,39216.0,2018-04-01 00:00:00,구로구,1.0
82,2018-04-01,금천구,21899.0,2018-04-01 00:00:00,금천구,5.0
83,2018-04-01,노원구,35554.0,2018-04-01 00:00:00,노원구,6.0
84,2018-04-01,도봉구,23563.0,2018-04-01 00:00:00,도봉구,6.0
85,2018-04-01,동대문구,9443.0,2018-04-01 00:00:00,동대문구,8.0
86,2018-04-01,동작구,12162.0,2018-04-01 00:00:00,동작구,7.0
87,2018-04-01,마포구,17372.0,2018-04-01 00:00:00,마포구,2.0
88,2018-04-01,서대문구,33568.0,2018-04-01 00:00:00,서대문구,8.0
89,2018-04-01,서초구,45646.0,2018-04-01 00:00:00,서초구,2.0
90,2018-04-01,성동구,20554.0,2018-04-01 00:00:00,성동구,4.0
91,2018-04-01,성북구,32926.0,2018-04-01 00:00:00,성북구,4.0
92,2018-04-01,송파구,34720.0,2018-04-01 00:00:00,송파구,13.0
93,2018-04-01,양천구,25002.0,2018-04-01 00:00:00,양천구,5.0
94,2018-04-01,영등포구,24834.0,2018-04-01 00:00:00,영등포구,18.0
95,2018-04-01,용산구,18050.0,2018-04-01 00:00:00,용산구,4.0
96,2018-04-01,은평구,12148.0,2018-04-01 00:00:00,은평구,5.0
97,2018-04-01,종로구,40028.0,0,0,0.0
98,2018-04-01,중구,27516.0,2018-04-01 00:00:00,중구,1.0
99,2018-04-01,중랑구,16668.0,2018-04-01 00:00:00,중랑구,3.0
100,2018-05-01,강남구,36944.0,2018-05-01 00:00:00,강남구,7.0
101,2018-05-01,강동구,35984.0,2018-05-01 00:00:00,강동구,8.0
102,2018-05-01,강북구,30192.0,2018-05-01 00:00:00,강북구,2.0
103,2018-05-01,강서구,55925.0,2018-05-01 00:00:00,강서구,6.0
104,2018-05-01,관악구,25465.0,2018-05-01 00:00:00,관악구,4.0
105,2018-05-01,광진구,34170.0,2018-05-01 00:00:00,광진구,5.0
106,2018-05-01,구로구,51035.0,2018-05-01 00:00:00,구로구,5.0
